lot_id,n_predecessors,n_successors,is_terminal,is_root
L000189,8,0,True,False
L000190,8,0,True,False
L000191,8,0,True,False
L000192,8,0,True,False
L000193,8,0,True,False
L000194,8,0,True,False
L000195,8,0,True,False
L000196,8,0,True,False
L000197,8,0,True,False
L000198,8,0,True,False
L000199,8,0,True,False
L000200,8,0,True,False
L000201,8,0,True,False
L000202,8,0,True,False
L000203,8,0,True,False
L000204,8,0,True,False
L000205,8,0,True,False
L000206,8,0,True,False
L000207,8,0,True,False
L000208,8,0,True,False
L000209,8,0,True,False
L000210,8,0,True,False
L000211,8,0,True,False
L000212,8,0,True,False
L000213,8,0,True,False
L000214,8,0,True,False
L000215,8,0,True,False
L000216,8,0,True,False
L000217,8,0,True,False
L000218,8,0,True,False
L000219,8,0,True,False
L000220,8,0,True,False
L000221,8,0,True,False
L000222,8,0,True,False
L000223,8,0,True,False
L000224,8,0,True,False
L000225,8,0,True,False
L000226,8,0,True,False
L000227,8,0,True,False
L000228,8,0,True,False
L000229,8,0,True,False
L000230,8,0,True,False
L000231,8,0,True,False
L000232,8,0,True,False
L000233,8,0,True,False
L000234,8,0,True,False
L000235,8,0,True,False
L000236,8,0,True,False
L000237,8,0,True,False
L000238,8,0,True,False
L000239,8,0,True,False
L000240,8,0,True,False
L000241,8,0,True,False
L000242,8,0,True,False
L000243,8,0,True,False
L000244,8,0,True,False
L000245,8,0,True,False
L000246,8,0,True,False
L000247,8,0,True,False
L000248,8,0,True,False
L000249,8,0,True,False
L000250,8,0,True,False
L000251,8,0,True,False
L000252,8,0,True,False
L000253,8,0,True,False
L000254,8,0,True,False
L000255,8,0,True,False
L000256,8,0,True,False
L000257,8,0,True,False
L000258,8,0,True,False
L000259,8,0,True,False
L000260,8,0,True,False
L000261,8,0,True,False
L000262,8,0,True,False
L000263,8,0,True,False
L000264,8,0,True,False
L000265,8,0,True,False
L000266,8,0,True,False
L000267,8,0,True,False
L000268,8,0,True,False
L000269,8,0,True,False
L000270,8,0,True,False
L000271,8,0,True,False
L000272,8,0,True,False
L000273,8,0,True,False
L000274,8,0,True,False
L000275,8,0,True,False
L000276,8,0,True,False
L000277,8,0,True,False
L000278,8,0,True,False
L000279,8,0,True,False
L000280,8,0,True,False
L000281,8,0,True,False
L000282,8,0,True,False
L000283,8,0,True,False
L000284,8,0,True,False
L000285,8,0,True,False
L000286,8,0,True,False
L000287,8,0,True,False
L000288,8,0,True,False
L000289,8,0,True,False
L000290,8,0,True,False
L000291,8,0,True,False
L000292,8,0,True,False
L000293,8,0,True,False
L000294,8,0,True,False
L000295,8,0,True,False
L000296,8,0,True,False
L000297,8,0,True,False
L000298,8,0,True,False
L000299,8,0,True,False
L000300,8,0,True,False
L000301,8,0,True,False
L000302,8,0,True,False
L000303,8,0,True,False
L000304,8,0,True,False
L000305,8,0,True,False
L000306,8,0,True,False
L000307,8,0,True,False
L000308,8,0,True,False
L000309,8,0,True,False
L000310,8,0,True,False
L000311,8,0,True,False
L000312,8,0,True,False
L000313,8,0,True,False
L000314,8,0,True,False
L000315,8,0,True,False
L000316,8,0,True,False
L000317,8,0,True,False
L000318,8,0,True,False
L000319,8,0,True,False
L000320,8,0,True,False
L000321,8,0,True,False
L000322,8,0,True,False
L000323,8,0,True,False
L000324,8,0,True,False
L000325,8,0,True,False
L000326,8,0,True,False
L000327,8,0,True,False
L000328,8,0,True,False
L000329,8,0,True,False
L000330,8,0,True,False
L000331,8,0,True,False
L000332,8,0,True,False
L000333,8,0,True,False
L000334,8,0,True,False
L000335,8,0,True,False
L000336,8,0,True,False
L000337,8,0,True,False
L000338,8,0,True,False
L000339,8,0,True,False
L000340,8,0,True,False
L000341,8,0,True,False
L000342,8,0,True,False
L000343,8,0,True,False
L000344,8,0,True,False
L000345,8,0,True,False
L000346,8,0,True,False
L000347,8,0,True,False
L000348,8,0,True,False
L000349,8,0,True,False
L000350,8,0,True,False
L000351,8,0,True,False
L000352,8,0,True,False
L000353,8,0,True,False
L000354,8,0,True,False
L000355,8,0,True,False
L000356,8,0,True,False
L000357,8,0,True,False
L000358,8,0,True,False
L000359,8,0,True,False
L000360,8,0,True,False
L000361,8,0,True,False
L000362,8,0,True,False
L000363,8,0,True,False
L000364,8,0,True,False
L000365,8,0,True,False
L000366,8,0,True,False
L000367,8,0,True,False
L000368,8,0,True,False
L000369,8,0,True,False
L000370,8,0,True,False
L000371,8,0,True,False
L000372,8,0,True,False
L000373,8,0,True,False
L000374,8,0,True,False
L000375,8,0,True,False
L000376,8,0,True,False
L000377,8,0,True,False
L000378,8,0,True,False
L000379,8,0,True,False
L000380,8,0,True,False
L000381,8,0,True,False
L000382,8,0,True,False
L000383,8,0,True,False
L000384,8,0,True,False
L000385,8,0,True,False
L000386,8,0,True,False
L000387,8,0,True,False
L000388,8,0,True,False
L000389,8,0,True,False
L000390,8,0,True,False
L000391,8,0,True,False
L000392,8,0,True,False
L000393,8,0,True,False
L000394,8,0,True,False
L000395,8,0,True,False
L000396,8,0,True,False
L000397,8,0,True,False
L000398,8,0,True,False
L000399,8,0,True,False
L000400,8,0,True,False
L000401,8,0,True,False
L000402,8,0,True,False
L000403,8,0,True,False
L000404,8,0,True,False
L000405,8,0,True,False
L000406,8,0,True,False
L000407,8,0,True,False
L000408,8,0,True,False
L000409,8,0,True,False
L000410,8,0,True,False
L000411,8,0,True,False
L000412,8,0,True,False
L000413,8,0,True,False
