lot_id,item_code,item_type,sku,block_id,qty,uom,need_by,consume_at,duration_h,operation,department,machines,min_aging_h,max_aging_h,pooled,member_blocks,sub
L001101,HTPOLY350,CALANDARED ROLL,1325215813079TUNE3,B00721,181774.7913669065,MM,2026-04-13 07:00:00+05:30,2026-04-12 23:40:23.039999+05:30,0.0721328537170264,FOUR ROLL CALENDAR,CALENDERING,"""901""",4.0,72.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001102,IL007,Inner Liner,1325215813079TUNE3,B00721,483000.0,MM,2026-04-13 07:00:00+05:30,2026-04-12 21:54:59.039999+05:30,0.322,RHC,CALENDERING,"""1101""",6.0,72.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001103,MB1232,MASTER COMPOUND,1325215813079TUNE3,B00721,2220.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 15:23:08.039999+05:30,0.23399999999999999,MASTER MIXING,MASTER MIXING,"430-2,430-1",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001104,MB230,MASTER COMPOUND,1325215813079TUNE3,B00721,1420.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 07:10:02.639999+05:30,0.19466666666666665,MASTER MIXING,MASTER MIXING,"430-2,430-1",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001105,MB231,MASTER COMPOUND,1325215813079TUNE3,B00721,730.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 11:16:47.639999+05:30,0.09166666666666666,MASTER MIXING,MASTER MIXING,"430-2,430-1",4.0,96.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001106,MB352,MASTER COMPOUND,1325215813079TUNE3,B00721,2040.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 11:16:02.639999+05:30,0.35,MASTER MIXING,MASTER MIXING,"430-2,270M",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001107,MB357,MASTER COMPOUND,1325215813079TUNE3,B00721,680.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 09:29:33.239999+05:30,0.10833333333333334,MASTER MIXING,MASTER MIXING,"430-1,270M",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001108,MB614,MASTER COMPOUND,1325215813079TUNE3,B00721,720.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 19:36:59.040000+05:30,0.10566666666666666,MASTER MIXING,MASTER MIXING,"430-1,270M",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001109,MB802,MASTER COMPOUND,1325215813079TUNE3,B00721,700.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 09:16:55.864137+05:30,0.09733333333333333,MASTER MIXING,MASTER MIXING,"430-1,430-2,440M",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001110,MB813,MASTER COMPOUND,1325215813079TUNE3,B00721,710.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 13:23:31.264137+05:30,0.08633333333333333,MASTER MIXING,MASTER MIXING,"430-1,430-2,440M",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001111,ML405,MASTER COMPOUND,1325215813079TUNE3,B00721,2400.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 13:36:18.239999+05:30,0.309,MASTER MIXING,MASTER MIXING,430-2,4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001112,MR156,MASTER COMPOUND,1325215813079TUNE3,B00721,1480.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 13:30:25.769999+05:30,0.16666666666666666,MASTER MIXING,MASTER MIXING,"430-2,430-1",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
L001113,MR157,MASTER COMPOUND,1325215813079TUNE3,B00721,1540.0,KG,2026-04-13 07:00:00+05:30,2026-04-12 17:36:16.169999+05:30,0.12266666666666667,MASTER MIXING,MASTER MIXING,"430-2,430-1",4.0,360.0,True,"[""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884"", ""B00723"", ""B00814"", ""B00903"", ""B01351"", ""B01529"", ""B01707"", ""B01885"", ""B00724"", ""B00815"", ""B00904"", ""B01352"", ""B01530"", ""B01708"", ""B01886"", ""B00725"", ""B00816"", ""B00905"", ""B01353"", ""B01531"", ""B01709"", ""B01887"", ""B00726"", ""B00817"", ""B00906"", ""B01354"", ""B01532"", ""B01710"", ""B01888"", ""B00727"", ""B00818"", ""B00907"", ""B01355"", ""B01533"", ""B01711"", ""B01889"", ""B00728"", ""B00819"", ""B00908"", ""B01356"", ""B01534"", ""B01712"", ""B01890"", ""B00729"", ""B00820"", ""B00909"", ""B01357"", ""B01535"", ""B01713"", ""B01891""]",0
