block_id,sku,need_by,wave_id
B01373,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B01374,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B01375,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B01376,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B01377,1325215813079TUNE3,2026-04-22 15:00:00+05:30,7
B01491,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B01492,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B01493,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B01494,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B01495,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B01496,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B01497,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B01498,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B01499,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B01500,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B01501,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B01502,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B01503,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B01504,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B01505,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B01506,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B01507,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B01508,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B01509,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B01510,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B01511,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B01512,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B01513,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B01514,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B01515,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B01516,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B01517,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B01518,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B01519,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B01520,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B01521,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B01522,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B01523,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B01524,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B01525,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B01526,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B01527,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B01528,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B01529,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B01530,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B01531,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
