ItemCode,ItemType
CAR 2275 RAN A/T,Carcass
CAR 2276 RAN HT,Carcass
CAR 2277 RAN HT,Carcass
CAR 2287 LEVI,Carcass
CAR 2335 BLA XAT,Carcass
CAR 2337 BLA HT,Carcass
CAR 2338 EZO TOU,Carcass
CAR 2348 UX1,Carcass
CAR 2355 BRU,Carcass
CAR 2356 BLA HT,Carcass
CAR 2357 UX1,Carcass
CAR 2366 ROYL,Carcass
CAR 2367 RAN HT,Carcass
CAR 2367 RAN XATW,Carcass
CAR 2368 EZO TOU,Carcass
CAR 2368 RAN HT,Carcass
CAR 2375 RAN HT,Carcass
CAR 2375 RAN MT,Carcass
CAR 2408 UX1,Carcass
CAR 2417 UX1,Carcass
CAR 2428 LEVI,Carcass
CAR 2447 LEVI,Carcass
CAR 2448 UX1,Carcass
CAR 2455 RAN A/T,Carcass
CAR 2457 LEVI,Carcass
CAR 2458 RAN HPE,Carcass
CAR 2476 RAN HT2,Carcass
CAR 2476 RAN MT,Carcass
CAR 2476 SUP MM,Carcass
CAR 2506 BLA HT,Carcass
CAR 2516 ROYL,Carcass
CAR 2526 ROYL,Carcass
CAR 2526 ROYL PG,Carcass
CAR 2549 LEVI,Carcass
CAR 2556 ROYL,Carcass
CAR 2557 HPE KIA,Carcass
CAR 2557 UX1 EXP,Carcass
CAR 2565 UXT,Carcass
CAR 2567 EZO TOU,Carcass
CAR 2568 RAN AT,Carcass
CAR 2568 RAN ATB,Carcass
CAR 2568 RAN HT2,Tread
CAR 2568 RAN HTP,Carcass
CAR 2569 RAN AT,Carcass
CAR 2575 RAN A/T,Carcass
CAR 2576 EZO TATA,Carcass
CAR 2616 BLA HT,Carcass
CAR 2617 RAN XAT,Carcass
CAR 2618 RAN ATB,Carcass
CAR 2627 RAN HT,Carcass
CAR 2656 BLA HT,Carcass
CAR 2657 BLA HT,Carcass
CAR 2657 RAN HT,Carcass
CAR 2657 RAN XATW,Carcass
CAR 2658 RAN HTP,Carcass
CAR 2658 RAN XAT,Carcass
CAR 2666 RAN HT,Carcass
CAR 2667 RAN HT,Carcass
CAR 2667 RAN HT PG,Carcass
CAR 2668 RAN HTP,Carcass
CAR 2668 RAN XATW,Carcass
CAR 2676 RAN HT,Carcass
CAR 2676 RAN MT,Carcass
